증감 항목으로 판단하였다.,,
,,하여 수정 또는 보완이 필요한 절차 두 가지를
,각각 2줄 이내로 서술하시오.,
위에 제시된 재무정보 중 선택할 수 있는 가장,,
,Ÿ,회사로부터 상세하게 기록된 차입금 종류별 평균
"적합한 벤치마크 두 가지를 기재하고, 그러한 판단의",,
,,잔액과 차입금 종류별 평균이자율을 입수하였다.
근거를 ‘선택한 벤치마크’에 한정하여 각각 2줄 이내로,,
서술하시오.,Ÿ,추가적인 조사를 하지 않고 수용될 수 있는 회사
,,장부상 기록된 금액과 감사인의 기대치와의 차이
,,금액을 결정하였다.
,Ÿ,이자비용의 발생 원천이 대부분 차입금이므로
,,차입금 평균이자율을 활용하여 이자비용에 대한
,,실증적인 분석적절차를 수행하기로 결정하였다.
,Ÿ,감사인의 기대치와 장부금액의 차이 금액이 명백
,,"하게 사소한 금액을 초과하는지 판단하고, 초과하는"
,,경우 추가적인 감사절차를 고려하였다.
,Ÿ,회사에서 받은 정보를 이용하여 평균잔액에 평균
,,이자율을 곱하여 독립적으로 감사인의 이자비용
,,"기대치를 산출하고, 충분히 정확한지 평가하였다."
