(물음 4) 다음은 내부통제의 고유한계와 관련된,,
,,(물음 5) 최근 자주 발생하는 횡령사건과 관련하여
상황을 기재한 것이다.,,
,,당신의 친구인 김똘똘 씨는 다음과 같이 논평하였다.
상황,내용,
,,“2017년 외부감사법 개혁으로 규모가 큰 상장
,,기업의 경우 감사인의 내부회계관리제도 검토를
,재고자산 보관을 담당하고 있는 창고부서,
,,감사로 강화했는데도 최근 금융기관은 물론 상장
,직원A와재고자산입·출고기록을담당하는,
,,기업에서 횡령사건이 빈번하게 발생하고 있어!
<예시>,직원B가 결탁하여 재고자산을 무단 반출,
,,①내부회계관리제도감사는 아무런 실효성이 없는 것
,하고 기록하지 않은 다음 이를 판매하여,
,,아니야? 게다가 어떤 회사는 내부회계관리제도 감사
,현금을 나누어 가졌다.,
,,의견이 적정의견이었는데도 대규모 횡령사건이
,소규모 기업의 소유경영자C는 경리부장,
,,발생했잖아? ②그럼 공인회계사가 횡령액에 대해
,에게 회사 당좌예금의 일부를 해외,
①,,
,,일부 책임을 져야 하지 않니?”
,자회사로 송금하도록 요청하여 도박,
,자금으로 사용하였다.,
,,공인회계사인 당신은 김똘똘 씨에게 ①과 ②에 대해
,증권회사 직원D는 업무의 과중으로 인해,
,,"어떻게 답할지 각각 3줄 이내로 서술하시오(단, ①의"
②,콜옵션 매도를 풋옵션 매도로 잘못 입력,
,,경우 검토와 감사의 확신 수준에 따른 내부회계
,하여 회사에 거액의 손실을 끼쳤다.,
