,,,차이가 발견되었다.
[상황 1],,,
,,,(단위: 원)
,,항목,"장부금액
회신금액
차이"
Ÿ,정나라 회계사는 매출채권 실재성과 관련된 중요,,
,,①,"12,000,000
10,000,000
2,000,000"
,"왜곡표시위험을 식별하고 평가하였으며, 이에",,
,,②,"3,000,000
미회신
3,000,000"
,대응하는 실증절차로 매출채권에 대한 외부조회를,,
,,③,"400,000
300,000
100,000"
,실시하기로 하였다.,④,"300,000
미회신
300,000"
Ÿ,"외부조회 대상을 선정하기 위해, 정나라 회계사는",,
,,,(물음 3) 위의 차이 항목에 대해 정나라 회계사가
,㈜대한이 회계시스템을 통해 생성한 결산일 현재,,
,,,"수행한 절차가 적절한지 여부를 기재하고, 적절하지"
,거래처별 매출채권 잔액명세서를 입수하였다.,,
,,,않은 경우 그 이유를 2줄 이내로 서술하시오.
Ÿ,"매출채권 잔액명세서의 합계금액은 300,000,000원",,
,"이며, 허용왜곡표시금액은 12,000,000원이다.",항목,수행한 절차
,,,"매출채권이 오류로 기록된 것을 확인하였고,"
Ÿ,정나라 회계사는 허용왜곡표시금액의 75% 이상인,,
,,①,
,,,해당 왜곡표시금액을 모집단에 투영하였다.
,"항목 4개(합계액: 60,000,000원)와 금액비례확률",,
,,,해당 매출채권은 매출송장 100건으로 구성되어
,"표본감사(PPS: Probability Proportional
to size",,
,,,있다. 대체적 절차로 해당 매출송장금액 합계가
,Sampling) 방법을 이용한 표본을 추출하였다.,,
,,,"매출채권 잔액과 일치함을 확인하고, 매출"
Ÿ,"부당수용위험:
5%",,
,,②,송장 중 일부를 표본추출하여 매출 발생사실과
,과대계상,,
,"0
1
2
3
4",,결산일 이후 현금 입금 사실을 확인하였다.
,오류의 수,,
,,,따라서 장부금액이 왜곡표시되지 않은 것으로
,"신뢰계수
3.00
4.75
6.30
7.76
9.16",,
,,,판단하였다.
,,,"변이에 따른 차이금액임을 확인하였고, 해당"
,,③,
(물음 1) 감사인이 거래처별 매출채권 잔액명세서,,,
,,,왜곡표시금액을 모집단에 투영하지 않았다.
"같은 ‘기업이 생산한 정보’를 이용할 때, 그 정보의",,,
,,,대체적 절차로 결산일 이후 전액 입금된 사실을
신뢰성을 평가하기 위해 수행해야 하는 절차 두 가지를,,,
,,④,확인하였다. 따라서 장부금액이 왜곡표시되지
기재하시오.,,,
,,,않은 것으로 판단하였다.
