,회계감사
6/16,3교시
【문제 3】(9점),(물음 2) 다음의 각 독립적인 상황별로 독립성 훼손
,"여부를 기재하고, 훼손된 경우 그 이유를 2줄 이내로"
다음은 윤리기준과 관련된 물음이다.,서술하시오.
,"항목
상황"
(물음 1) 다음은 투명회계법인이 신입회계사를 대상,
,"A회계법인의
사원인
김대한
회계사는"
으로 실시한 윤리기준 교육사례 내용 중 일부를,
,갑은행의 재무제표감사를 수행하고 있다.
정리한 것이다. 각 항목에서 고려해야 할 윤리강령을,
,김대한 회계사는 감사를 수행하기 전부터
기재하시오.,
,"①
갑은행에서 2억원의 주택담보대출을 받았다."
"항목
사례",
,감사기간 동안 동 주택담보대출의 만기가
,도래하여 동일한 조건으로 만기를 연장
A회계법인은 최근 B회계법인을 합병하여,
,하였다.
대형회계법인으로 출범하게 된 것을 기념,
①,
"하고, 신규고객을 유치하기 위해 지하철","B회계법인의
사원인
김한국
회계사는"
전면광고를 계획하고 있다.,"㈜대한그룹의
재무제표감사를
수행하고"
,"②
있다. ㈜대한그룹으로부터 받은 감사보수"
자동차 제조회사인 ㈜대한은 주요 원재료인,
,총액이 B회계법인의 연간 전체 매출액의
브레이크패드를 ㈜민국으로부터 공급받아,
,30%에 달한다.
"가공한 후, 다시 ㈜민국에 납품하는 계약을",
,"C회계법인의
사원인
김만세
회계사는"
체결하였다. 회계팀 나몰라 과장은 해당,
,을은행의 재무제표감사를 수행하고 있다.
계약의 수익인식 회계처리에 대해 감사인인,
②,
,감사기간 중 김만세 회계사는 여유자금이
C회계법인의 김기준 회계사에게 질문하였,
,③
,생겨 5천만원을 한도로 예금자보호법을
으나 원하는 답변을 얻을 수 없었다. 이에,
,적용받는 을은행의 예금상품에 새로 가입
나몰라 과장은 원하는 답변을 얻기 위해,
,하였다.
지인인 D회계법인의 회계사에게 동일한,
사안에 대해 의견을 구하였다.,D회계법인은 ㈜대한교육과 IT교육프로
,그램을 공동으로 개발·판매하고 있다.
,D회계법인의 전체 매출액에서 해당 판매
[답안양식],④
,"수익이
차지하는
비중은
경미하지만,"
"항목
고려해야 할 윤리강령",㈜대한교육의 전체 매출액에서 차지하는
,비중은 높다.
①,
